2018-06-04 23:25:16,https://www.facebook.com/,2307,310,391,1051,1703,120,5882
2018-06-04 23:25:23,https://twitter.com/,301,371,384,1333,1172,1,3562
2018-06-04 23:25:24,https://www.google.com/,369,113,246,786,1949,29,3492
2018-06-04 23:25:30,https://www.youtube.com/,387,106,751,1860,1043,13,4160
2018-06-04 23:25:38,https://www.linkedin.com/,291,239,101,1811,186,105,2733
2018-06-04 23:25:45,https://wordpress.org/,398,26,240,1333,2439,0,4436
2018-06-04 23:26:05,https://www.instagram.com/,951,246,227,2277,17167,26,20894
2018-06-04 23:26:09,https://www.pinterest.com/,1151,252,61,1020,20074,218,22776
2018-06-04 23:26:11,https://www.wikipedia.org/,8288,188,346,6123,312,8,15265
2018-06-04 23:26:11,https://www.blogger.com/,8215,230,1179,2829,1112,0,13565
2018-06-04 23:26:14,https://wordpress.com/,7387,259,538,1230,6460,495,16369
2018-06-04 23:26:23,https://www.adobe.com/,1351,113,499,9488,5142,514,17107
2018-06-04 23:26:35,https://www.apple.com/,520,65,823,5976,1032,47,8463
2018-06-04 23:26:41,https://www.tumblr.com/,790,160,455,10485,2169,9,14068
2018-06-04 23:26:43,https://www.youtube.com/,1444,81,625,9443,369,3,11965
2018-06-04 23:26:56,https://www.amazon.com/,1419,125,1261,5809,4152,17,12783
2018-06-04 23:26:57,https://goo.gl/,283,105,1015,3267,1320,0,5990
2018-06-04 23:27:14,https://www.microsoft.com/,851,174,425,2994,8268,73,12785
2018-06-04 23:27:19,https://vimeo.com/,975,279,718,4879,12872,46,19769
2018-06-04 23:27:28,https://www.flickr.com/,976,127,416,791,7442,27,9779
2018-06-04 23:27:53,https://www.godaddy.com/,2654,256,3566,796,1324,49,8645
2018-06-04 23:27:56,https://www.buydomains.com/,4464,358,2443,2696,11365,33,21359
2018-06-04 23:28:05,https://vk.com/,3066,317,2358,7141,2541,316,15739
2018-06-04 23:28:13,http://www.qq.com/,2132,89,920,7808,23378,2,34329
2018-06-04 23:28:14,https://www.w3.org/,4542,264,4227,724,3576,0,13333
2018-06-04 23:28:19,http://t.co/,569,121,3933,27,226,1,4877
2018-06-04 23:28:20,http://baidu.com/,535,346,3182,3,70,0,4136
2018-06-04 23:28:25,http://www.baidu.com/,747,297,873,2971,792,11,5691
2018-06-04 23:28:33,http://europa.eu/,33,47,2885,1518,3156,2,7641
2018-06-04 23:28:34,https://www.nytimes.com/,3291,56,2566,16914,8957,28,31812
2018-06-04 23:28:35,https://www.gov.uk/,1787,199,720,1850,806,1,5363
2018-06-04 23:28:59,http://statcounter.com/,74,819,2414,2629,3149,0,9085
2018-06-04 23:29:02,https://www.weebly.com/,1527,170,313,4286,9992,2,16290
2018-06-04 23:29:02,https://www.blogger.com/,3925,148,554,2138,610,0,7375
2018-06-04 23:29:15,https://soundcloud.com/,2035,193,729,6662,12578,3,22200
2018-06-04 23:29:21,https://www.mozilla.org/,6439,50,759,835,4454,2,12539
2018-06-04 23:29:23,https://github.com/,2218,144,1459,7582,2308,3,13714
2018-06-04 23:29:27,https://www.google.de/,1927,192,1388,1927,8316,16,13766
2018-06-04 23:29:28,http://www.bbc.com/,4411,48,1232,7493,5038,139,18361
2018-06-04 23:29:44,https://yandex.ru/,2216,343,1439,6040,3307,109,13454
2018-06-04 23:29:50,https://www.jimdo.com/,1221,140,739,3406,12410,1,17917
2018-06-04 23:30:00,https://www.bluehost.com/,2997,364,1099,4065,4555,4,13084
2018-06-04 23:30:02,https://wordpress.com/,5268,82,481,798,11415,345,18389
2018-06-04 23:30:07,https://www.addthis.com/,1359,132,819,1804,4812,228,9154
2018-06-04 23:30:27,http://en.gravatar.com/,1462,75,852,3559,638,0,6586
2018-06-04 23:30:31,https://www.google.co.jp/,7368,95,2529,1160,4634,141,15927
2018-06-04 23:30:32,https://www.nih.gov/,4902,154,1139,5061,3225,34,14515
2018-06-04 23:30:32,https://www.theguardian.com/,4310,49,1142,5816,23267,16,34600
2018-06-04 23:30:35,https://www.wix.com/,4725,130,2517,4713,7209,3,19297
2018-06-04 23:30:35,http://ascii.co.uk/,169,111,1853,1593,10951,27,14704
2018-06-04 23:30:45,https://outlook.live.com/,1344,59,402,3721,1147,0,6673
2018-06-04 23:30:45,https://www.paypal.com/,3820,270,1592,820,3050,80,9632
2018-06-04 23:31:01,https://www.elegantthemes.com/,1844,57,395,1294,2684,10,6284
2018-06-04 23:31:10,https://www.cnn.com/,3470,65,571,9054,21521,221,34902
2018-06-04 23:31:34,https://www.123-reg.co.uk/,1799,654,461,1592,4418,1208,10132
2018-06-04 23:31:38,https://www.tripadvisor.com/,1907,283,939,778,7221,18,11146
2018-06-04 23:31:58,https://issuu.com/,1494,129,1085,2593,11491,22,16814
2018-06-04 23:32:00,http://www.stumbleupon.com/,2930,101,707,1925,5596,117,11376
2018-06-04 23:32:02,https://www.huffingtonpost.com/,1744,57,1730,6271,12877,20,22699
2018-06-04 23:32:06,https://www.stumbleupon.com/,59,99,154,2259,1362,72,4005
2018-06-04 23:32:32,http://digg.com/,130,226,2501,4876,19369,130,27232
2018-06-04 23:32:36,https://creativecommons.org/,3167,466,2898,10131,9419,3,26084
2018-06-04 23:32:53,https://www.google.co.uk/,7775,100,2074,1798,10356,9,22112
2018-06-04 23:32:56,https://aws.amazon.com/,2931,102,3728,11858,3108,5,21732
2018-06-04 23:32:58,https://www.dropbox.com/,6497,313,2417,784,17148,14,27173
2018-06-04 23:33:00,https://www.parallels.com/,9455,234,2354,4516,21753,2,38314
2018-06-04 23:33:14,https://www.addtoany.com/,15612,46,1932,891,6284,1,24766
2018-06-04 23:33:25,https://www.e-recht24.de/,3524,483,2928,11044,9863,76,27918
2018-06-04 23:33:28,https://www.opera.com/,4597,42,2687,1793,22395,45,31559
2018-06-04 23:33:49,https://www.etsy.com/,4098,392,3339,11175,6235,16,25255
2018-06-04 23:33:58,https://archive.org/,7375,217,4274,1882,1758,20,15526
2018-06-04 23:34:24,https://www.ebay.com/,5800,157,5119,1666,381,14,13137
2018-06-04 23:34:29,https://ameblo.jp/,8298,232,12012,4040,390,0,24972
2018-06-04 23:34:30,https://www.eventbrite.com/,13456,444,10484,12800,15930,107,53221
2018-06-04 23:34:31,http://www.free.fr/,5451,147,9226,2498,3034,0,20356
2018-06-04 23:34:31,https://www.xing.com/,3009,437,12588,9974,17961,2,43971
2018-06-04 23:34:37,https://www.bing.com/,15851,194,2589,916,284,1,19835
2018-06-04 23:34:40,https://fc2.com/,7404,98,16994,1770,8509,301,35076
2018-06-04 23:35:20,https://www.reuters.com/,7897,265,1944,39395,5138,8,54647
2018-06-04 23:35:52,https://www.wikimedia.org/,4088,155,7050,192,1129,1,12615
2018-06-04 23:36:02,http://www.typepad.com/,6565,188,2305,3063,4383,1,16505
