1,2018-07-09 10:50:50,https://www.facebook.com/,2967,410,81,1000,3386,146,7990
2,2018-07-09 10:50:54,https://twitter.com/,546,132,58,1933,625,1,3295
3,2018-07-09 10:50:55,https://www.google.com/,543,175,504,973,1396,53,3644
4,2018-07-09 10:50:59,https://www.youtube.com/,414,105,605,1292,511,64,2991
5,2018-07-09 10:51:14,https://www.linkedin.com/,367,312,214,9227,1981,687,12788
6,2018-07-09 10:51:14,https://wordpress.org/,881,49,258,802,5688,0,7678
7,2018-07-09 10:51:24,https://www.instagram.com/,2712,100,777,6181,5738,20,15528
8,2018-07-09 10:51:28,https://www.blogger.com/,4316,56,463,3159,382,0,8376
9,2018-07-09 10:51:36,https://www.wikipedia.org/,3692,37,2186,11821,547,0,18283
10,2018-07-09 10:51:36,https://www.pinterest.com/,3087,448,124,3433,18549,325,25966
11,2018-07-09 10:51:43,https://www.adobe.com/,1474,2,557,7290,9335,342,19000
12,2018-07-09 10:52:00,https://wordpress.com/,2229,55,1834,1344,31709,870,38041
13,2018-07-09 10:52:03,https://www.youtube.com/,2327,254,2308,12121,204,21,17235
14,2018-07-09 10:52:04,https://www.apple.com/,3435,38,2689,15228,283,73,21746
15,2018-07-09 10:52:04,https://www.tumblr.com/,6347,126,2126,14093,1475,8,24175
16,2018-07-09 10:52:04,https://goo.gl/,2137,72,1233,2197,8476,1,14116
17,2018-07-09 10:52:12,https://www.microsoft.com/,5073,251,667,2470,1092,9,9562
18,2018-07-09 10:52:14,https://www.amazon.com/,4142,300,2559,8906,10982,12,26901
19,2018-07-09 10:52:34,https://www.flickr.com/,4103,249,5739,733,6881,436,18141
20,2018-07-09 10:52:41,https://vimeo.com/,3074,142,3699,6671,28240,336,42162
21,2018-07-09 10:52:49,https://www.godaddy.com/,5004,581,2339,6001,660,55,14640
