"2018-06-24 16:42:14";"http://www.free.fr/";"1513";"369";"587";"3126";"1858";"0";"7453"
"2018-06-24 16:42:15";"https://www.bing.com/";"1797";"246";"630";"336";"777";"1";"3787"
"2018-06-24 16:42:15";"https://www.ebay.com/";"1280";"758";"1240";"3682";"4424";"36";"11420"
"2018-06-24 16:42:15";"https://www.amazon.co.uk/";"945";"198";"904";"1722";"9782";"15";"13566"
"2018-06-24 16:42:20";"https://cpanel.com/";"771";"605";"561";"555";"3590";"7";"6089"
"2018-06-24 16:42:43";"https://www.telegraph.co.uk/";"1810";"96";"1415";"11651";"28453";"511";"43936"
"2018-06-24 16:42:46";"https://www.livejournal.com/";"2192";"212";"831";"3039";"22608";"106";"28988"
"2018-06-24 16:42:51";"https://www.reuters.com/";"2646";"226";"496";"5560";"24439";"396";"33763"
"2018-06-24 16:43:07";"https://www.wikimedia.org/";"3604";"292";"3637";"125";"3244";"1";"10903"
"2018-06-24 16:43:17";"http://www.typepad.com/";"3286";"454";"1480";"3029";"6506";"21";"14776"
"2018-06-24 16:43:25";"https://weibo.com/";"4545";"759";"1054";"2873";"39372";"32";"48635"
"2018-06-24 16:43:27";"https://www.bloomberg.com/";"1450";"69";"423";"1902";"45358";"460";"49662"
"2018-06-24 16:43:31";"http://www.dailymail.co.uk/";"2131";"396";"2346";"18697";"33007";"329";"56906"
"2018-06-24 16:43:40";"https://www.aol.com/";"1928";"217";"3942";"5238";"28633";"347";"40305"
