1,2018-07-08 19:32:50,https://www.facebook.com/,3261,171,656,901,5510,164,10663
2,2018-07-08 19:32:52,https://twitter.com/,883,134,171,1874,681,0,3743
3,2018-07-08 19:32:53,https://www.google.com/,562,103,264,1239,1429,65,3662
4,2018-07-08 19:32:56,https://www.youtube.com/,607,92,597,1828,181,9,3314
5,2018-07-08 19:33:07,https://www.linkedin.com/,550,343,37,7346,186,125,8587
6,2018-07-08 19:33:09,https://wordpress.org/,940,30,136,827,4439,0,6372
7,2018-07-08 19:33:16,https://www.instagram.com/,2145,166,652,4868,3271,14,11116
8,2018-07-08 19:33:21,https://www.blogger.com/,3047,73,329,3216,1066,0,7731
9,2018-07-08 19:33:25,https://www.pinterest.com/,2874,314,144,1041,14021,380,18774
10,2018-07-08 19:33:25,https://www.wikipedia.org/,2964,54,418,9452,130,0,13018
11,2018-07-08 19:33:27,https://wordpress.com/,1684,49,438,7149,3634,242,13196
12,2018-07-08 19:33:31,https://www.adobe.com/,1362,0,146,7194,3596,474,12772
13,2018-07-08 19:33:45,https://www.youtube.com/,1040,174,896,5738,710,46,8604
14,2018-07-08 19:33:46,https://www.apple.com/,2058,74,1308,8293,302,15,12050
15,2018-07-08 19:33:46,https://www.tumblr.com/,2044,134,665,7957,460,21,11281
16,2018-07-08 19:33:56,https://goo.gl/,1979,128,555,2145,2790,2,7599
17,2018-07-08 19:33:56,https://www.amazon.com/,2475,137,497,3068,6295,33,12505
18,2018-07-08 19:34:26,https://www.godaddy.com/,678,213,247,3801,310,5,5254
19,2018-07-08 19:34:29,https://www.buydomains.com/,2206,330,228,1198,9502,32,13496
20,2018-07-08 19:34:34,http://www.qq.com/,1660,81,559,10251,5974,2,18527
