.041650,100,70,110,0,9,0.740827798843,206.47154212,207.212369919,0,1,1533724486.88,-0.06498503685,90.32
.041650,100,70,110,0,8,183.081969023,45.2432320118,228.325201035,1,0,1533724511.06,-5.03328609467,37.50
.041650,100,70,110,1,7,193.857062101,44.2198278904,238.076889992,1,0,1533724545.58,-5.05837607384,37.33
.041650,100,70,110,2,6,224.244466066,44.213835001,268.458301067,1,0,1533724559.47,-5.04010510445,37.32
.041650,100,70,110,3,5,268.243386984,45.2493200302,313.492707014,1,0,1533724559.74,-5.05122709274,37.36
.041650,100,70,110,4,4,284.310263872,45.186563015,329.496826887,1,0,1533724588.97,-5.04639792442,37.54
.041650,100,70,110,5,3,324.655657053,44.2676739693,368.923331022,1,0,1533724593.87,-5.05565881729,37.48
.041650,100,70,110,6,2,349.385005951,45.1812040806,394.566210032,1,0,1533724613.46,-5.04321479797,37.43
.041650,100,70,110,7,1,387.653690815,44.1955611706,431.849251986,1,0,1533724620.42,-5.05599498749,37.56
.041650,100,70,110,8,0,416.226664066,44.1936969757,460.420361042,1,0,1533724636.1,-5.05289506912,37.24
